Fulfillment logic for FLUBE4
,,,101,102,103,104,105,106,107,108,109,110,111,112,114,115,116,117,118,119,120,121,122,123,125,126,127,128,129,130,131,132,133,134,135,
,WH QTY,1 QTY GIVEN TO,28/36,37/48,28/36,31/48,32/48,53/72,58/64,14/18,112/120,91/96,56/64,42/48,45/24,37/48,28/36,30/36,63/64,53/64,88/120,109/120,45/64,13/18,95/96,31/36,65/64,25/36,24/36,56/60,47/64,83/48,39/60,45/64,51/64,
,7,122,22.2,32.9,32.2,45.4,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,49.7,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
,6,122,22.2,32.9,32.2,45.4,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,48.1,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
,5,122,22.2,32.9,32.2,45.4,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,46.6,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
,4,104,22.2,32.9,32.2,45.4,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,45,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
,3,122,22.2,32.9,32.2,43.3,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,45,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
,2,122,22.2,32.9,32.2,43.3,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,43.4,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
,1,104,22.2,32.9,32.2,43.3,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,41.9,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
,0,122,22.2,32.9,32.2,41.2,26.7,26.4,29.4,22.2,26.7,25.2,32.5,32.5,0,22.9,22.2,26.7,21.6,27.2,0,29.2,41.9,37.8,21,13.9,0,30.6,16.7,26.7,26.6,0,35,29.7,30.3,
